type,dt,fluxN,fluxS
diff,2016-12-03 20:00:00,658.866967024387,681.4163402776358
mono,2016-12-03 20:00:00,255.6960415325409,263.44803966391305
wave,2016-12-03 20:00:00,106.83940935685546,110.1611341717209
ions,2016-12-03 20:00:00,217.6983550930066,223.0340812095469
diff,2016-12-03 21:00:00,658.866967024387,681.4163402776358
mono,2016-12-03 21:00:00,255.6960415325409,263.44803966391305
wave,2016-12-03 21:00:00,106.83940935685546,110.1611341717209
ions,2016-12-03 21:00:00,217.6983550930066,223.0340812095469
diff,2016-12-03 22:00:00,658.866967024387,681.4163402776358
mono,2016-12-03 22:00:00,255.6960415325409,263.44803966391305
wave,2016-12-03 22:00:00,106.83940935685546,110.1611341717209
ions,2016-12-03 22:00:00,217.6983550930066,223.0340812095469
diff,2016-12-03 23:00:00,658.866967024387,681.4163402776358
mono,2016-12-03 23:00:00,255.6960415325409,263.44803966391305
wave,2016-12-03 23:00:00,106.83940935685546,110.1611341717209
ions,2016-12-03 23:00:00,217.6983550930066,223.0340812095469
diff,2016-12-04 00:00:00,657.2760055774271,680.1530572143567
mono,2016-12-04 00:00:00,255.25587037941932,263.05870449072046
wave,2016-12-04 00:00:00,106.62391080028948,109.9829841264598
ions,2016-12-04 00:00:00,217.28681529611163,222.7203874498927
diff,2016-12-04 01:00:00,657.2760055774271,680.1530572143567
mono,2016-12-04 01:00:00,255.25587037941932,263.05870449072046
wave,2016-12-04 01:00:00,106.62391080028948,109.9829841264598
ions,2016-12-04 01:00:00,217.28681529611163,222.7203874498927
diff,2016-12-04 02:00:00,657.2760055774271,680.1530572143567
mono,2016-12-04 02:00:00,255.25587037941932,263.05870449072046
wave,2016-12-04 02:00:00,106.62391080028948,109.9829841264598
ions,2016-12-04 02:00:00,217.28681529611163,222.7203874498927
diff,2016-12-04 03:00:00,657.2760055774271,680.1530572143567
mono,2016-12-04 03:00:00,255.25587037941932,263.05870449072046
wave,2016-12-04 03:00:00,106.62391080028948,109.9829841264598
ions,2016-12-04 03:00:00,217.28681529611163,222.7203874498927
diff,2016-12-04 04:00:00,657.2760055774271,680.1530572143567
mono,2016-12-04 04:00:00,255.25587037941932,263.05870449072046
wave,2016-12-04 04:00:00,106.62391080028948,109.9829841264598
ions,2016-12-04 04:00:00,217.28681529611163,222.7203874498927
diff,2016-12-04 05:00:00,657.2760055774271,680.1530572143567
mono,2016-12-04 05:00:00,255.25587037941932,263.05870449072046
wave,2016-12-04 05:00:00,106.62391080028948,109.9829841264598
ions,2016-12-04 05:00:00,217.28681529611163,222.7203874498927
diff,2016-12-04 06:00:00,657.2760055774271,680.1530572143567
mono,2016-12-04 06:00:00,255.25587037941932,263.05870449072046
wave,2016-12-04 06:00:00,106.62391080028948,109.9829841264598
ions,2016-12-04 06:00:00,217.28681529611163,222.7203874498927
diff,2016-12-04 07:00:00,657.2760055774271,680.1530572143567
mono,2016-12-04 07:00:00,255.25587037941932,263.05870449072046
wave,2016-12-04 07:00:00,106.62391080028948,109.9829841264598
ions,2016-12-04 07:00:00,217.28681529611163,222.7203874498927
diff,2016-12-04 08:00:00,657.2760055774271,680.1530572143567
mono,2016-12-04 08:00:00,255.25587037941932,263.05870449072046
wave,2016-12-04 08:00:00,106.62391080028948,109.9829841264598
ions,2016-12-04 08:00:00,217.28681529611163,222.7203874498927
diff,2016-12-04 09:00:00,657.2760055774271,680.1530572143567
mono,2016-12-04 09:00:00,255.25587037941932,263.05870449072046
wave,2016-12-04 09:00:00,106.62391080028948,109.9829841264598
ions,2016-12-04 09:00:00,217.28681529611163,222.7203874498927
diff,2016-12-04 10:00:00,657.2760055774271,680.1530572143567
mono,2016-12-04 10:00:00,255.25587037941932,263.05870449072046
wave,2016-12-04 10:00:00,106.62391080028948,109.9829841264598
ions,2016-12-04 10:00:00,217.28681529611163,222.7203874498927
diff,2016-12-04 11:00:00,657.2760055774271,680.1530572143567
mono,2016-12-04 11:00:00,255.25587037941932,263.05870449072046
wave,2016-12-04 11:00:00,106.62391080028948,109.9829841264598
ions,2016-12-04 11:00:00,217.28681529611163,222.7203874498927
diff,2016-12-04 12:00:00,657.2760055774271,680.1530572143567
mono,2016-12-04 12:00:00,255.25587037941932,263.05870449072046
wave,2016-12-04 12:00:00,106.62391080028948,109.9829841264598
ions,2016-12-04 12:00:00,217.28681529611163,222.7203874498927
diff,2016-12-04 13:00:00,657.2760055774271,680.1530572143567
mono,2016-12-04 13:00:00,255.25587037941932,263.05870449072046
wave,2016-12-04 13:00:00,106.62391080028948,109.9829841264598
ions,2016-12-04 13:00:00,217.28681529611163,222.7203874498927
diff,2016-12-04 14:00:00,657.2760055774271,680.1530572143567
mono,2016-12-04 14:00:00,255.25587037941932,263.05870449072046
wave,2016-12-04 14:00:00,106.62391080028948,109.9829841264598
ions,2016-12-04 14:00:00,217.28681529611163,222.7203874498927
diff,2016-12-04 15:00:00,657.2760055774271,680.1530572143567
mono,2016-12-04 15:00:00,255.25587037941932,263.05870449072046
wave,2016-12-04 15:00:00,106.62391080028948,109.9829841264598
ions,2016-12-04 15:00:00,217.28681529611163,222.7203874498927
diff,2016-12-04 16:00:00,657.2760055774271,680.1530572143567
mono,2016-12-04 16:00:00,255.25587037941932,263.05870449072046
wave,2016-12-04 16:00:00,106.62391080028948,109.9829841264598
ions,2016-12-04 16:00:00,217.28681529611163,222.7203874498927
diff,2016-12-04 17:00:00,657.2760055774271,680.1530572143567
mono,2016-12-04 17:00:00,255.25587037941932,263.05870449072046
wave,2016-12-04 17:00:00,106.62391080028948,109.9829841264598
ions,2016-12-04 17:00:00,217.28681529611163,222.7203874498927
diff,2016-12-04 18:00:00,657.2760055774271,680.1530572143567
mono,2016-12-04 18:00:00,255.25587037941932,263.05870449072046
wave,2016-12-04 18:00:00,106.62391080028948,109.9829841264598
ions,2016-12-04 18:00:00,217.28681529611163,222.7203874498927
diff,2016-12-04 19:00:00,657.2760055774271,680.1530572143567
mono,2016-12-04 19:00:00,255.25587037941932,263.05870449072046
wave,2016-12-04 19:00:00,106.62391080028948,109.9829841264598
ions,2016-12-04 19:00:00,217.28681529611163,222.7203874498927
diff,2016-12-04 20:00:00,657.2760055774271,680.1530572143567
mono,2016-12-04 20:00:00,255.25587037941932,263.05870449072046
wave,2016-12-04 20:00:00,106.62391080028948,109.9829841264598
ions,2016-12-04 20:00:00,217.28681529611163,222.7203874498927
diff,2016-12-04 21:00:00,657.2760055774271,680.1530572143567
mono,2016-12-04 21:00:00,255.25587037941932,263.05870449072046
wave,2016-12-04 21:00:00,106.62391080028948,109.9829841264598
ions,2016-12-04 21:00:00,217.28681529611163,222.7203874498927
diff,2016-12-04 22:00:00,657.2760055774271,680.1530572143567
mono,2016-12-04 22:00:00,255.25587037941932,263.05870449072046
wave,2016-12-04 22:00:00,106.62391080028948,109.9829841264598
ions,2016-12-04 22:00:00,217.28681529611163,222.7203874498927
diff,2016-12-04 23:00:00,657.2760055774271,680.1530572143567
mono,2016-12-04 23:00:00,255.25587037941932,263.05870449072046
wave,2016-12-04 23:00:00,106.62391080028948,109.9829841264598
ions,2016-12-04 23:00:00,217.28681529611163,222.7203874498927
diff,2016-12-05 00:00:00,655.6850441304675,678.8897741510775
mono,2016-12-05 00:00:00,254.8156992262978,262.6693693175279
wave,2016-12-05 00:00:00,106.40841224372352,109.80483408119875
ions,2016-12-05 00:00:00,216.87527549921663,222.4066936902385
diff,2016-12-05 01:00:00,655.6850441304675,678.8897741510775
mono,2016-12-05 01:00:00,254.8156992262978,262.6693693175279
wave,2016-12-05 01:00:00,106.40841224372352,109.80483408119875
ions,2016-12-05 01:00:00,216.87527549921663,222.4066936902385
diff,2016-12-05 02:00:00,655.6850441304675,678.8897741510775
mono,2016-12-05 02:00:00,254.8156992262978,262.6693693175279
wave,2016-12-05 02:00:00,106.40841224372352,109.80483408119875
ions,2016-12-05 02:00:00,216.87527549921663,222.4066936902385
diff,2016-12-05 03:00:00,655.6850441304675,678.8897741510775
mono,2016-12-05 03:00:00,254.8156992262978,262.6693693175279
wave,2016-12-05 03:00:00,106.40841224372352,109.80483408119875
ions,2016-12-05 03:00:00,216.87527549921663,222.4066936902385
diff,2016-12-05 04:00:00,655.6850441304675,678.8897741510775
mono,2016-12-05 04:00:00,254.8156992262978,262.6693693175279
wave,2016-12-05 04:00:00,106.40841224372352,109.80483408119875
ions,2016-12-05 04:00:00,216.87527549921663,222.4066936902385
diff,2016-12-05 05:00:00,655.6850441304675,678.8897741510775
mono,2016-12-05 05:00:00,254.8156992262978,262.6693693175279
wave,2016-12-05 05:00:00,106.40841224372352,109.80483408119875
ions,2016-12-05 05:00:00,216.87527549921663,222.4066936902385
diff,2016-12-05 06:00:00,655.6850441304675,678.8897741510775
mono,2016-12-05 06:00:00,254.8156992262978,262.6693693175279
wave,2016-12-05 06:00:00,106.40841224372352,109.80483408119875
