type,dt,fluxN,fluxS
diff,2016-03-20 03:00:00,746.264068576038,743.1879237132548
mono,2016-03-20 03:00:00,283.6497183863378,279.02511264798204
wave,2016-03-20 03:00:00,119.46011683629771,118.26083285485184
ions,2016-03-20 03:00:00,239.71885460225667,239.50996432843965
diff,2016-03-20 04:00:00,746.264068576038,743.1879237132548
mono,2016-03-20 04:00:00,283.6497183863378,279.02511264798204
wave,2016-03-20 04:00:00,119.46011683629771,118.26083285485184
ions,2016-03-20 04:00:00,239.71885460225667,239.50996432843965
diff,2016-03-20 05:00:00,746.264068576038,743.1879237132548
mono,2016-03-20 05:00:00,283.6497183863378,279.02511264798204
wave,2016-03-20 05:00:00,119.46011683629771,118.26083285485184
ions,2016-03-20 05:00:00,239.71885460225667,239.50996432843965
diff,2016-03-20 06:00:00,746.264068576038,743.1879237132548
mono,2016-03-20 06:00:00,283.6497183863378,279.02511264798204
wave,2016-03-20 06:00:00,119.46011683629771,118.26083285485184
ions,2016-03-20 06:00:00,239.71885460225667,239.50996432843965
diff,2016-03-20 07:00:00,746.264068576038,743.1879237132548
mono,2016-03-20 07:00:00,283.6497183863378,279.02511264798204
wave,2016-03-20 07:00:00,119.46011683629771,118.26083285485184
ions,2016-03-20 07:00:00,239.71885460225667,239.50996432843965
diff,2016-03-20 08:00:00,746.264068576038,743.1879237132548
mono,2016-03-20 08:00:00,283.6497183863378,279.02511264798204
wave,2016-03-20 08:00:00,119.46011683629771,118.26083285485184
ions,2016-03-20 08:00:00,239.71885460225667,239.50996432843965
diff,2016-03-20 09:00:00,746.264068576038,743.1879237132548
mono,2016-03-20 09:00:00,283.6497183863378,279.02511264798204
wave,2016-03-20 09:00:00,119.46011683629771,118.26083285485184
ions,2016-03-20 09:00:00,239.71885460225667,239.50996432843965
diff,2016-03-20 10:00:00,746.264068576038,743.1879237132548
mono,2016-03-20 10:00:00,283.6497183863378,279.02511264798204
wave,2016-03-20 10:00:00,119.46011683629771,118.26083285485184
ions,2016-03-20 10:00:00,239.71885460225667,239.50996432843965
diff,2016-03-20 11:00:00,746.264068576038,743.1879237132548
mono,2016-03-20 11:00:00,283.6497183863378,279.02511264798204
wave,2016-03-20 11:00:00,119.46011683629771,118.26083285485184
ions,2016-03-20 11:00:00,239.71885460225667,239.50996432843965
diff,2016-03-20 12:00:00,746.264068576038,743.1879237132548
mono,2016-03-20 12:00:00,283.6497183863378,279.02511264798204
wave,2016-03-20 12:00:00,119.46011683629771,118.26083285485184
ions,2016-03-20 12:00:00,239.71885460225667,239.50996432843965
diff,2016-03-20 13:00:00,746.264068576038,743.1879237132548
mono,2016-03-20 13:00:00,283.6497183863378,279.02511264798204
wave,2016-03-20 13:00:00,119.46011683629771,118.26083285485184
ions,2016-03-20 13:00:00,239.71885460225667,239.50996432843965
diff,2016-03-20 14:00:00,746.264068576038,743.1879237132548
mono,2016-03-20 14:00:00,283.6497183863378,279.02511264798204
wave,2016-03-20 14:00:00,119.46011683629771,118.26083285485184
ions,2016-03-20 14:00:00,239.71885460225667,239.50996432843965
diff,2016-03-20 15:00:00,746.264068576038,743.1879237132548
mono,2016-03-20 15:00:00,283.6497183863378,279.02511264798204
wave,2016-03-20 15:00:00,119.46011683629771,118.26083285485184
ions,2016-03-20 15:00:00,239.71885460225667,239.50996432843965
diff,2016-03-20 16:00:00,746.264068576038,743.1879237132548
mono,2016-03-20 16:00:00,283.6497183863378,279.02511264798204
wave,2016-03-20 16:00:00,119.46011683629771,118.26083285485184
ions,2016-03-20 16:00:00,239.71885460225667,239.50996432843965
diff,2016-03-20 17:00:00,746.264068576038,743.1879237132548
mono,2016-03-20 17:00:00,283.6497183863378,279.02511264798204
wave,2016-03-20 17:00:00,119.46011683629771,118.26083285485184
ions,2016-03-20 17:00:00,239.71885460225667,239.50996432843965
diff,2016-03-20 18:00:00,746.264068576038,743.1879237132548
mono,2016-03-20 18:00:00,283.6497183863378,279.02511264798204
wave,2016-03-20 18:00:00,119.46011683629771,118.26083285485184
ions,2016-03-20 18:00:00,239.71885460225667,239.50996432843965
